time,close,open,low,high
2022-06-01 09:31:00,115.64,115.8,115.64,115.92
2022-06-01 09:32:00,115.76,115.76,115.76,116.2
2022-06-01 09:33:00,116.28,115.68,115.68,116.36
2022-06-01 09:34:00,116.12,116.2,116.12,116.2
2022-06-01 09:35:00,115.88,116.12,115.88,116.12
2022-06-01 09:36:00,116.08,115.96,115.8,116.2
2022-06-01 09:37:00,115.76,115.96,115.76,115.96
2022-06-01 09:38:00,116.0,115.76,115.76,116.0
2022-06-01 09:39:00,116.24,115.92,115.92,116.24
2022-06-01 09:40:00,116.12,116.28,116.12,116.32
2022-06-01 09:41:00,115.96,116.16,115.96,116.2
2022-06-01 09:42:00,115.84,116.04,115.84,116.04
2022-06-01 09:43:00,115.6,115.88,115.6,115.88
2022-06-01 09:44:00,115.64,115.68,115.64,115.68
2022-06-01 09:45:00,115.68,115.68,115.68,115.72
2022-06-01 09:46:00,115.8,115.76,115.76,115.92
2022-06-01 09:47:00,115.8,115.76,115.76,115.84
2022-06-01 09:48:00,115.88,116.0,115.88,116.0
2022-06-01 09:49:00,115.96,115.92,115.92,115.96
2022-06-01 09:50:00,115.84,115.96,115.8,115.96
2022-06-01 09:51:00,115.76,115.76,115.76,115.76
2022-06-01 09:52:00,115.8,115.84,115.8,115.84
2022-06-01 09:53:00,115.52,115.84,115.44,115.84
2022-06-01 09:54:00,115.6,115.6,115.6,115.6
2022-06-01 09:55:00,115.6,115.48,115.48,115.6
2022-06-01 09:56:00,115.8,115.76,115.76,115.84
2022-06-01 09:57:00,115.76,115.84,115.76,115.92
2022-06-01 09:58:00,115.68,115.756,115.68,115.756
2022-06-01 09:59:00,115.68,115.72,115.68,115.76
2022-06-01 10:00:00,115.32,115.56,115.32,115.56
2022-06-01 10:01:00,115.4,115.48,115.4,115.52
2022-06-01 10:02:00,115.48,115.56,115.48,115.56
2022-06-01 10:03:00,115.4,115.44,115.36,115.44
2022-06-01 10:04:00,115.48,115.4,115.4,115.48
2022-06-01 10:05:00,115.56,115.56,115.56,116.0
2022-06-01 10:06:00,115.76,115.56,115.56,115.84
2022-06-01 10:07:00,115.632,115.64,115.632,115.64
2022-06-01 10:08:00,115.76,115.8,115.76,115.8
2022-06-01 10:09:00,115.76,115.76,115.72,115.8
2022-06-01 10:10:00,115.92,115.88,115.88,115.92
2022-06-01 10:11:00,115.996,116.0,115.96,116.08
2022-06-01 10:12:00,115.96,115.84,115.8,115.96
2022-06-01 10:13:00,115.88,115.88,115.88,115.88
2022-06-01 10:14:00,115.96,115.84,115.84,115.96
2022-06-01 10:15:00,116.0,116.0,116.0,116.0
2022-06-01 10:16:00,115.84,115.912,115.8,115.912
2022-06-01 10:17:00,115.8,115.76,115.76,115.8
2022-06-01 10:18:00,115.92,115.84,115.84,115.92
2022-06-01 10:19:00,116.0,116.0,116.0,116.0
2022-06-01 10:20:00,115.96,115.96,115.96,115.96
2022-06-01 10:21:00,115.8,115.96,115.8,115.96
2022-06-01 10:22:00,115.8,115.88,115.8,115.88
2022-06-01 10:23:00,115.8,115.8,115.8,115.8
2022-06-01 10:24:00,115.6,115.6,115.6,115.6
2022-06-01 10:25:00,115.84,115.8,115.8,115.84
2022-06-01 10:26:00,115.8,115.8,115.8,115.8
2022-06-01 10:27:00,115.76,115.84,115.68,115.84
2022-06-01 10:28:00,115.84,115.84,115.84,115.84
2022-06-01 10:29:00,115.88,115.88,115.88,115.88
2022-06-01 10:30:00,115.8,115.8,115.8,115.8
2022-06-01 10:31:00,115.36,115.48,115.18,115.48
2022-06-01 10:32:00,115.56,115.4,115.4,115.6
2022-06-01 10:33:00,115.8,115.48,115.44,115.84
2022-06-01 10:34:00,115.4,115.68,115.4,115.68
2022-06-01 10:35:00,115.52,115.48,115.48,115.56
2022-06-01 10:36:00,115.48,115.44,115.44,115.56
2022-06-01 10:37:00,115.12,115.32,115.12,115.4
2022-06-01 10:38:00,115.16,115.2,114.94,115.24
2022-06-01 10:39:00,114.96,115.08,114.96,115.08
2022-06-01 10:40:00,115.08,115.04,115.04,115.12
2022-06-01 10:41:00,115.24,114.96,114.96,115.24
2022-06-01 10:42:00,115.16,115.16,115.16,115.2
2022-06-01 10:43:00,115.16,115.24,115.04,115.24
2022-06-01 10:44:00,115.0,115.12,114.96,115.12
2022-06-01 10:45:00,114.96,114.96,114.96,115.04
2022-06-01 10:46:00,115.0,115.0,115.0,115.0
2022-06-01 10:47:00,114.88,114.88,114.88,114.88
2022-06-01 10:48:00,115.0,114.96,114.96,115.0
2022-06-01 10:49:00,115.36,115.08,115.04,115.36
2022-06-01 10:50:00,115.24,115.44,115.24,115.44
2022-06-01 10:51:00,115.44,115.28,115.28,115.44
2022-06-01 10:52:00,115.48,115.36,115.36,115.48
2022-06-01 10:53:00,115.44,115.44,115.44,115.44
2022-06-01 10:54:00,115.52,115.4,115.4,115.52
2022-06-01 10:55:00,115.32,115.56,115.32,115.56
2022-06-01 10:56:00,115.32,115.36,115.32,115.36
2022-06-01 10:57:00,115.16,115.28,115.16,115.28
2022-06-01 10:58:00,115.2,115.04,115.04,115.2
2022-06-01 10:59:00,115.2,115.04,115.04,115.2
2022-06-01 11:00:00,115.16,115.28,115.16,115.28
2022-06-01 11:01:00,115.2,115.2,115.2,115.2
2022-06-01 11:02:00,114.992,114.96,114.96,115.0
2022-06-01 11:03:00,114.96,115.0,114.96,115.0
2022-06-01 11:04:00,114.96,114.88,114.84,114.96
2022-06-01 11:05:00,114.88,115.0,114.88,115.0
2022-06-01 11:06:00,114.92,114.92,114.92,114.92
2022-06-01 11:07:00,115.0,115.0,115.0,115.0
2022-06-01 11:08:00,115.24,115.0,115.0,115.24
2022-06-01 11:09:00,115.32,115.2,115.2,115.32
2022-06-01 11:10:00,115.356,115.32,115.32,115.356
2022-06-01 11:11:00,115.4,115.36,115.32,115.4
2022-06-01 11:12:00,115.36,115.44,115.36,115.44
2022-06-01 11:13:00,115.64,115.64,115.64,115.64
2022-06-01 11:14:00,115.8,115.72,115.72,115.8
2022-06-01 11:15:00,115.88,115.88,115.88,115.88
2022-06-01 11:16:00,115.92,115.92,115.92,116.04
2022-06-01 11:17:00,115.76,115.88,115.76,115.88
2022-06-01 11:18:00,115.76,115.88,115.76,115.88
2022-06-01 11:19:00,115.8,115.76,115.76,115.8
2022-06-01 11:20:00,115.84,115.84,115.84,115.84
2022-06-01 11:21:00,116.16,115.88,115.88,116.16
2022-06-01 11:22:00,116.2,116.04,116.04,116.2
2022-06-01 11:23:00,116.24,116.24,116.24,116.24
2022-06-01 11:24:00,116.16,116.16,116.16,116.16
2022-06-01 11:25:00,116.52,116.48,116.4,116.52
2022-06-01 11:26:00,116.84,116.52,116.44,116.84
2022-06-01 11:27:00,116.76,116.8,116.64,116.8
2022-06-01 11:28:00,116.44,116.68,116.44,116.68
2022-06-01 11:29:00,116.52,116.44,116.44,116.636
2022-06-01 11:30:00,116.52,116.44,116.44,116.636
2022-06-01 11:31:00,116.84,116.68,116.68,116.96
2022-06-01 11:32:00,116.92,116.84,116.84,117.0
2022-06-01 11:33:00,117.2,116.96,116.96,117.2
2022-06-01 11:34:00,117.2,116.96,116.96,117.2
2022-06-01 11:35:00,117.08,117.12,117.08,117.12
2022-06-01 11:36:00,116.92,117.0,116.92,117.08
2022-06-01 11:37:00,116.6,116.96,116.6,116.96
2022-06-01 11:38:00,116.6,116.64,116.44,116.68
2022-06-01 11:39:00,116.76,116.76,116.76,116.76
2022-06-01 11:40:00,116.76,116.76,116.76,116.76
2022-06-01 11:41:00,117.04,117.0,116.92,117.04
2022-06-01 11:42:00,117.04,117.08,117.04,117.08
2022-06-01 11:43:00,116.96,116.96,116.96,116.96
2022-06-01 11:44:00,117.12,117.12,117.12,117.12
2022-06-01 11:45:00,117.12,117.12,117.12,117.12
2022-06-01 11:46:00,117.24,117.12,117.08,117.24
2022-06-01 11:47:00,117.48,117.24,117.24,117.6
2022-06-01 11:48:00,117.36,117.48,117.36,117.48
2022-06-01 11:49:00,117.64,117.64,117.64,117.64
2022-06-01 11:50:00,117.4,117.52,117.4,117.52
2022-06-01 11:51:00,117.28,117.24,117.24,117.32
2022-06-01 11:52:00,117.48,117.32,117.32,117.48
2022-06-01 11:53:00,117.48,117.32,117.32,117.48
2022-06-01 11:54:00,117.48,117.32,117.32,117.48
2022-06-01 11:55:00,117.4,117.52,117.4,117.52
2022-06-01 11:56:00,117.44,117.44,117.44,117.44
2022-06-01 11:57:00,117.48,117.44,117.44,117.52
2022-06-01 11:58:00,117.2,117.36,117.2,117.36
2022-06-01 11:59:00,117.24,117.16,117.16,117.24
2022-06-01 12:00:00,117.32,117.32,117.32,117.32
2022-06-01 12:01:00,117.28,117.2,117.2,117.28
2022-06-01 12:02:00,117.44,117.56,117.44,117.56
2022-06-01 12:03:00,117.72,117.44,117.44,117.72
2022-06-01 12:04:00,117.52,117.56,117.52,117.56
2022-06-01 12:05:00,117.08,117.36,117.08,117.36
2022-06-01 12:06:00,118.0,117.68,117.68,118.04
2022-06-01 12:07:00,118.24,118.0,117.96,118.36
2022-06-01 12:08:00,117.96,118.2,117.96,118.24
2022-06-01 12:09:00,117.98,118.0,117.96,118.08
2022-06-01 12:10:00,118.0,118.0,117.96,118.04
2022-06-01 12:11:00,118.04,118.0,118.0,118.12
2022-06-01 12:12:00,117.92,117.92,117.92,117.92
2022-06-01 12:13:00,117.96,117.88,117.88,118.0
2022-06-01 12:14:00,118.08,118.12,118.08,118.12
2022-06-01 12:15:00,118.08,118.12,118.08,118.12
2022-06-01 12:16:00,118.04,118.04,118.04,118.04
2022-06-01 12:17:00,118.04,118.04,118.04,118.04
2022-06-01 12:18:00,117.72,118.04,117.6,118.04
2022-06-01 12:19:00,117.64,117.68,117.64,117.68
2022-06-01 12:20:00,117.64,117.64,117.64,117.64
2022-06-01 12:21:00,117.48,117.6,117.48,117.6
2022-06-01 12:22:00,117.56,117.56,117.56,117.56
2022-06-01 12:23:00,117.96,117.56,117.56,117.96
2022-06-01 12:24:00,118.36,118.12,118.08,118.36
2022-06-01 12:25:00,118.36,118.36,118.36,118.36
2022-06-01 12:26:00,117.84,118.0,117.84,118.0
2022-06-01 12:27:00,117.92,117.76,117.72,117.92
2022-06-01 12:28:00,117.8,117.8,117.8,117.84
2022-06-01 12:29:00,117.84,117.92,117.84,117.96
2022-06-01 12:30:00,117.92,117.88,117.88,117.92
