open,high,low,close,volume
375.16606396,377.08356205,374.3268536,376.62980296,4340530.0
376.7176273,376.75666034,372.48254246,372.58988332,5075863.0
372.58012506,373.32175282,371.75067296,371.81898078,3793174.0
371.81898078,372.13612423,370.9602539,371.29203474,3892937.0
371.29691387,372.17027814,370.88218782,371.9360799,2490958.0
371.95559642,372.75577374,371.70188166,372.58988332,2591300.0
372.58012506,373.08755458,370.78460522,370.90170434,2399628.0
370.89194608,371.26275996,370.31620874,370.3747583,2766876.0
370.3747583,370.88218782,369.80877922,370.0820105,2772520.0
370.07225224,370.16007658,369.51603142,369.92587834,2574478.0
369.9356366,370.50161568,369.6428888,370.50161568,1677756.0
370.5211322,370.54064872,369.28183318,369.76974618,1589319.0
369.75022966,370.82363826,369.60385576,369.66240532,1426839.0
369.66240532,369.75998792,368.7158541,369.3989323,1776713.0
369.45748186,369.82829574,369.2037671,369.3013497,1822448.0
369.31110796,370.44306612,369.19400884,370.15031832,1300613.0
370.13568093,370.56016524,369.94539486,370.19910962,1263044.0
370.1795931,370.80412174,369.80877922,370.6675061,1453672.0
370.6675061,371.0090452,369.76974618,370.1308018,1737113.0
370.1308018,370.48209916,369.63313054,369.72095488,1294395.0
369.75022966,370.16007658,368.95005234,370.07225224,1696498.0
370.0332192,371.5457495,369.91612008,370.7650887,3163280.0
370.74557218,371.46768342,370.64798958,371.32130952,2337620.0
371.32130952,371.91656338,370.65774784,371.08711128,2699940.0
371.07247389,371.86777208,370.9602539,371.46768342,2940111.0
371.45792516,371.99462946,371.17493562,371.84825556,4574965.0
371.85801382,371.85801382,371.58478254,371.61405732,2715002.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
,,,,0.0
373.95603972,374.88307442,372.6679494,374.21951274,3845633.0
374.21951274,374.229271,372.93142242,373.79990756,2732833.0
373.7901493,374.93186572,370.81388,371.47744168,5791833.0
371.47744168,372.29713552,371.37010082,372.01414598,2163350.0
372.00438772,372.49230072,371.67260688,372.35568508,2170945.0
372.36544334,373.5949841,372.36544334,373.53643454,2653554.0
373.53643454,374.16584231,373.07779632,373.94628146,1983732.0
